Date;Opp;W/L;time;2P;3P;1P;Off Reb;Def Reb;Assist;Steal;Foul;Points;Game Score
2018-10-17;MIN;W;22:41;0;1;2;3;4;6;0;2;5;8.3
2018-10-20;POR;L;17:08;3;1;1;1;3;2;0;1;10;10.3
